OBJECTID,ZCTA5,DDA_CODE,DDA_TYPE,DDA_NAME,Shape__Area,Shape__Length
2464,19102,METRO37980M37980,SA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",817313.796875,5685.36664331786
2465,30303,METRO12060M12060,SA,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",3874863.80859375,12798.0406115226
2466,72751,METRO22220M22220,SA,"Fayetteville-Springdale-Rogers, AR MSA",96787468.2695313,57443.4035482697
2467,11363,METRO35620MM5600,SA,"New York, NY HUD Metro FMR Area",3975509.6875,8380.50529603317
2468,11375,METRO35620MM5600,SA,"New York, NY HUD Metro FMR Area",11902570.4570313,16215.2179275367
2469,11417,METRO35620MM5600,SA,"New York, NY HUD Metro FMR Area",5008976.62890625,11238.5760179849
2470,98516,METRO36500M36500,SA,"Olympia-Lacey-Tumwater, WA MSA",165162941.757813,79177.5064004147
2471,92131,METRO41740M41740,SA,"San Diego-Chula Vista-Carlsbad, CA MSA",143138329.957031,62101.4387288446
2472,21056,METRO12580M12580,SA,"Baltimore-Columbia-Towson, MD MSA",7011358.734375,12782.5381533541
2473,07041,METRO35620MM5640,SA,"Newark, NJ HUD Metro FMR Area",6056336.55078125,13400.9610368444
2474,60208,METRO16980M16980,SA,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",924090.37109375,5436.95974543023
2475,60201,METRO16980M16980,SA,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",21158041.9882813,24145.9758859994
2476,07945,METRO35620MM5640,SA,"Newark, NJ HUD Metro FMR Area",89565019.4726563,54107.0922703978
2477,33177,METRO33100MM5000,SA,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",41112601.1640625,30279.4351478216
2478,01266,METRO38340N25003,SA,"Berkshire County, MA (part) HUD Metro FMR Area",96365529.828125,70754.585057104
2479,20764,METRO12580M12580,SA,"Baltimore-Columbia-Towson, MD MSA",19887505.2109375,25044.06930334
2480,19127,METRO37980M37980,SA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",3060801.5078125,14873.9554367471
2481,15090,METRO38300M38300,SA,"Pittsburgh, PA HUD Metro FMR Area",98322332.4765625,85169.2843432095
2482,21029,METRO12580M12580,SA,"Baltimore-Columbia-Towson, MD MSA",74516101.7460938,80369.5622186646
2483,60504,METRO16980M16980,SA,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",41458754.3789063,42600.6968546656
2484,06525,METRO35300M35300,SA,"New Haven, CT MSA",88301792.6015625,42131.5895160787
2485,18914,METRO37980M37980,SA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",78652452.65625,73694.3274789136
2486,18938,METRO37980M37980,SA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",186390869.972656,105048.759473347
2487,94304,METRO41940M41940,SA,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",19753588.4023438,45147.6177486658
2488,33182,METRO33100MM5000,SA,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",12481182.4375,17496.1022561805
2489,03087,METRO14460MM4160,SA,"Lawrence, MA-NH HUD Metro FMR Area",133679328.4375,49074.3315799634
2490,30040,METRO12060M12060,SA,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",221077262.941406,90351.960709281
2491,32937,METRO37340M37340,SA,"Palm Bay-Melbourne-Titusville, FL MSA",45828276.7949219,49107.0172712758
2492,11231,METRO35620MM5600,SA,"New York, NY HUD Metro FMR Area",7195594.703125,11877.5266228873
2493,77386,METRO26420M26420,SA,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area",143318521.128906,77296.1567438288
2494,12540,METRO28880M28880,SA,"Kiryas Joel-Poughkeepsie-Newburgh, NY MSA",165337375.097656,88436.044792234
2495,20778,METRO12580M12580,SA,"Baltimore-Columbia-Towson, MD MSA",35900263.328125,37899.338304008
2496,00987,METRO41980MM7440,SA,"San Juan-Guaynabo, PR HUD Metro FMR Area",75534662.2890625,55884.9151115537
2497,80923,METRO17820M17820,SA,"Colorado Springs, CO HUD Metro FMR Area",29931900.0273438,28763.9361136673
2498,30328,METRO12060M12060,SA,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",48925369.5390625,37860.3761524561
2499,37221,METRO34980M34980,SA,"Nashville-Davidson--Murfreesboro--Franklin, TN HUD Metro FMR Area",197169286.210938,106627.179346229
2500,21042,METRO12580M12580,SA,"Baltimore-Columbia-Towson, MD MSA",160792603.082031,70830.1045524103
2501,78215,METRO41700M41700,SA,"San Antonio-New Braunfels, TX HUD Metro FMR Area",3627449.5390625,12308.8772595011
2502,88012,METRO29740M29740,SA,"Las Cruces, NM MSA",1276248113.56641,252965.554552597
2503,75094,METRO19100M19100,SA,"Dallas, TX HUD Metro FMR Area",26491262.421875,24937.2530011009
2504,95018,METRO42100M42100,SA,"Santa Cruz-Watsonville, CA MSA",72144239.1875,83446.7733447262
2505,90232,METRO31080MM4480,SA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",8290396.1796875,19595.8377391964
2506,96761,METRO27980M27980,SA,"Kahului-Wailuku-Lahaina, HI HUD Metro FMR Area",284883139.289063,86498.9880278571
2507,10709,METRO35620MM5600,SA,"New York, NY HUD Metro FMR Area",7501875.4609375,17178.9245514082
